That (far),あれ
That (near),それ
This,これ
Which,どれ
What,何
And,と
How are you?,お元気ですか
I am fine,元気です
Me,私
I,私は
is,です
is not,ではありません
Let’s eat!,いいただきます
Cheers!,乾杯！
Drink,のみ
Beer,ビール
Wine,ワイン
Water,水
Tea,お茶
Rice,ご飯
Juice,ジュース
Sushi,すし
Chicken (meat),鳥肉
Beef,牛肉
Gyoza,餃子
Ramen,ラメン
Udon,うどん
Miso,ミソ
Soup,スープ
Bread,パン
Breakfast,朝ご飯
Fruit,果物
Japanese,日本語
English,英語
Chinese,中国語
Korean,韓国語
Korea,韓国
Japan,日本
Tokyo,東京
Osaka,逢坂
Kyoto,京都
China,中国
Canada,カナダ
Toronto,トロント
Vancouver,バンクーバー
United States,アメリカ
England,イギリス
London,ロンドン
Weather,天気
Wind,風
Cloudy,曇
Rain,雨
Sunny,晴
Teacher,先生
Student,学生
School,学校
Minute,分
Time,時
Now,今
Zero,ゼロ
One,一
Two,二
Three,三
Four,四
Five,五
Six,六
Seven,七
Eight,八
Nine,九
Cat,猫
Dog,犬
Bird,鳥
